p_mc_pur_AG,p_mc_pir_CU,
4.9167871671,5.33364346171,
4.61632523764,6.00206893365,
5.10925368184,6.09491378614,
6.16212369693,5.26328225937,
4.60704619107,5.29276328702,
5.62897431604,5.92289114241,
4.9643359117,6.69786386321,
5.64137054179,5.27483167482,
4.60507655985,6.35726354362,
4.89541968908,5.63964747727,
5.03035377396,5.42426911713,
4.98084628183,5.45244107879,
5.14873492605,6.31992259817,
5.62751863843,6.33095033402,
5.55513884844,7.91696778647,
4.86347802291,6.08126040862,
5.54572680158,5.96394152304,
5.31572070729,6.84124093574,
5.06735266673,7.69649758295,
5.24680302691,6.42954767531,
5.2351958213,5.94197339963,
5.00480962817,6.50194217319,
5.88556681472,5.78654611224,
5.14141579841,7.07473741281,
5.68501151656,5.87232420484,
5.43521347433,5.65977995996,
5.70613792295,6.37874209617,
5.25885387005,5.85332506838,
5.02529404489,4.80228321239,
4.90439133077,6.08844104517,
5.73221232236,6.03693210446,
5.75952127058,6.1147188652,
5.34686633812,6.27892931882,
5.63771690609,6.28688052726,
5.9071545857,5.78527939159,
4.44683568872,6.3208313813,
5.43572926109,6.42433566948,
5.43547530208,6.73480093072,
5.77073714066,6.28404276813,
5.22197520074,5.98443637276,
5.64475332554,7.11085288179,
5.27179051632,5.48742642773,
5.53554749564,6.40457903812,
5.07754410572,6.98255585833,
6.26609042351,5.96535959369,
5.75198327901,7.00332279684,
4.81145822534,5.96297889689,
5.67085444079,5.23913225733,
4.49185235593,6.05827950594,
5.97220295913,5.86509238879,
4.87638581923,7.07986143785,
4.21182364388,6.0216686901,
4.99385856209,5.55938124523,
6.18024368113,6.14370465098,
4.88786493701,5.48582414296,
5.25845252002,6.04378592553,
5.73554845823,5.44883443036,
5.03452809964,6.51690001074,
5.06111840606,6.11013241336,
4.91083400589,6.02499265347,
4.94547101864,6.1577499347,
5.92882074049,6.04208295454,
5.35305760862,6.14463328612,
5.49765513117,6.05101500579,
5.5074053105,5.81299820857,
5.42817879724,5.91960476947,
5.49033941367,5.87503670292,
5.46258052302,6.43260091671,
5.34577257719,7.20632156095,
5.42117020045,5.96363298278,
4.81505070783,5.99631869446,
5.07695426785,5.73600589163,
5.42787954028,5.8949597745,
4.93169844072,7.22483720469,
5.20389472613,7.53829951318,
5.28990062842,6.79864873758,
5.38242228253,6.51215997198,
4.87144607619,6.67190120885,
4.7873202677,7.40405962944,
4.90420591306,6.33053553006,
4.86619519338,7.02506257949,
4.92449207637,6.57900448943,
4.96022270107,6.11160486236,
5.1642716026,7.04759531345,
6.07599600659,6.02409453537,
5.91742410682,5.24735293799,
6.20212265953,6.34799649082,
5.20070617823,6.08333129791,
5.89055082834,6.23653723229,
5.47297521777,6.59629676402,
5.31132784732,6.14863903463,
6.07489472467,6.0553760469,
6.72732974195,6.83836733801,
5.28442055336,6.33817299981,
4.71690641327,6.04296247405,
6.19884405053,7.2546303177,
5.87213282279,3.86970040301,
5.27497730859,5.29488069083,
5.16923048076,6.63388117049,
5.09732858084,6.81766441119,
5.25118402393,6.17011764598,
5.5236452155,7.48290547806,
6.40928273496,6.14941088098,
6.40036537092,6.06460980464,
5.03511871353,6.33013144597,
4.82325495939,6.37923866362,
5.04851312365,6.35069401511,
5.79036258357,6.43600417769,
5.36209088159,6.53665875931,
6.36078857187,6.63700730134,
5.00550020013,6.40967533702,
6.01856575145,6.151839451,
4.99551220325,6.17862487222,
6.28481699405,6.01483959142,
5.12572604899,6.03441532132,
5.71384656117,6.05400486659,
5.84870143737,5.50712630872,
5.76258218226,6.13814283228,
5.55697104624,6.66957036678,
5.5411010172,6.12571168581,
5.38184512976,6.30350926661,
